Item,Marca,Precio,Categoria,Web,class_inei,codigo,genero
sandalia mujer felicina ,hush puppies,295.2,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
abrigo acolchado para mujer   ,blwoens,199.0,moda mujer,falabella,"CASACA, CHAQUETA, GUERRERA (MUJER > 14)",312020114,mujer
camisa lino manga larga hombre,isague,84.0,moda hombre,falabella,CAMISA (HOMBRE > 14),312010124,hombre
gorro  algodón hombre,polo ralph lauren,229.9,gorros y sombreros,falabella,NO CLASIFICACIÓN,0,hombre
top lila mujer top corto,urpi dreams,39.98,moda mujer,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
polo oversize they killed kenny,generico,63.0,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
sandalias mujer   ,kolosh,107.94,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
polos jersey niño emilio97,pionier,55.3,ropa de niños,falabella,POLO (NIÑO DE 3 A 13),312030158,niño
blusa niña algodón,mango kids,99.9,ropa de niños,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (NIÑA DE 3 A 13)",312040142,niña
ballerinas ballerina mini plata para niña     ,bibi,143.9,zapatos niña,falabella,ZAPATOS (NIÑA DE 3 A 13),321040118,niña
gorro niño,doo australia,39.9,ropa de niños,falabella,NO CLASIFICACIÓN,0,niño
barra de cera peinado control de cabello unisex sin frizz baby hairs,generico,49.0,fajas y modeladores,falabella,NO CLASIFICACIÓN,0,sin genero
pack 3 medias deportivas niño rybiu,rybiu import,33.9,ropa de niños,falabella,CALCETINES (HOMBRE > 14),312010119,niño
jean algodón mujer,pionier,143.92,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
botas dama  burdeo,moleca,119.94,botas de mujer,falabella,BOTAS (MUJER > 14),321030106,mujer
reloj  ice cream detalles azules con luces,skmei,79.0,ropa de niñas,falabella,NO CLASIFICACIÓN,0,niña
zapatilla para hombre vapor 15 club tf  ,nike,279.9,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
zapatos de vestir mujer marietta,aldo,279.9,zapatos formales mujer,falabella,ZAPATOS (MUJER > 14),321030121,mujer
polo niña manga larga algodón gabbys dollhouse,la casa de gabby,23.94,ropa de niñas,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (NIÑA DE 3 A 13)",312040142,niña
sandalia camel mujer ,gotta,169.0,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
polo manga corta cars aventura sobre rueda,generico,39.9,moda hombre,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,hombre
botines nébula lier   camel,nebula,131.94,botines mujer,falabella,BOTAS (MUJER > 14),321030106,mujer
casual pre walker rosado,bibi,199.9,zapatos niña,falabella,ZAPATOS (NIÑA DE 3 A 13),321040118,niña
panty abrigador  p0030v01,v1422,59.9,moda mujer,falabella,ROPA INTERIOR (MUJER > 14),312020172,mujer
botines hombre botin cityrogue mid,cat,329.9,zapatos,falabella,ZAPATOS (HOMBRE >14),321010121,hombre
pack x2 cinta boob tape sujetador invisible,generico,34.9,sostenes,falabella,ROPA INTERIOR (MUJER > 14),312020172,mujer
body navideño   elegante,generico,35.9,ropa de bebe niño,falabella,BEBECRECE (MENOR DE 2),312050108,niño
pantalon cargo drill stretch mujer ioana,pionier,169.0,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
sandalias banda niña,redwood,19.9,zapatos niña,falabella,ZAPATOS (NIÑA DE 3 A 13),321040118,niña
medias largas algodón papá noel navidad,abnormal socks,15.9,ropa interior y pijamas,falabella,CALCETINES (HOMBRE > 14),312010119,mujer
gorra mlb los angeles dodgers 9fortya frame 196172861645,new era,129.95,gorros y sombreros,falabella,NO CLASIFICACIÓN,0,mujer
body bebé niña pack x2 algodón,minnie,49.9,ropa de bebe niño,falabella,BEBECRECE (MENOR DE 2),312050108,niña
camisa lima shirt slim fit atrani ,lima shirt co,135.0,moda hombre,falabella,CAMISA (HOMBRE > 14),312010124,hombre
zapatos casuales mujer   ,kolosh,113.94,zapatos casuales mujer,falabella,ZAPATOS (MUJER > 14),321030121,mujer
camisa lima shirt relaxed fit copacabana ,lima shirt co,99.0,moda hombre,falabella,CAMISA (HOMBRE > 14),312010124,hombre
zapatos de vestir mujer,calimod,309.0,zapatos formales mujer,falabella,ZAPATOS (MUJER > 14),321030121,mujer
zapatos casuales hombre,carusso,207.2,zapatos,falabella,ZAPATOS (HOMBRE >14),321010121,hombre
polo top mujer,sybilla,34.9,moda mujer,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
zapatillas hombres   39 44,r18,125.4,zapatos,falabella,ZAPATOS (HOMBRE >14),321010121,hombre
overol bebé niño algodón,oshkosh,119.9,ropa de bebe niño,falabella,CONJUNTITO (MENOR DE 2),312050138,niño
body bebé niño pack 3 pcs ,pillin,71.0,ropa de bebe niño,falabella,BEBECRECE (MENOR DE 2),312050108,niño
zapatillas outdoor   con  aqua hombre,new athletic,219.0,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
zapatitos para bebé   sandalias   marrón,generico,51.0,zapatos niño,falabella,ZAPATOS (MENOR DE 2),321050106,bebe
polo licra compresor azulino,generico,69.0,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
gorro y bufanda con pompón accesorios para bebés y niños rj ,minari,19.9,ropa de niñas,falabella,NO CLASIFICACIÓN,0,niño
zapatillas urbanas hombre  sp basic midcourt,aldo,279.9,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
short denim algodón hombre,jack&jones,199.9,moda hombre,falabella,PANTALÓN CORTO (HOMBRE > 14),312010153,hombre
zapatos de vestir mujer  ,vizzano,131.94,sandalias mujeres,falabella,ZAPATOS (MUJER > 14),321030121,mujer
zapatillas urbana vs pace 20    ,adidas,289.3,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,mujer
gorra trucker banda twenty one pilots 04,generico,45.0,gorros y sombreros,falabella,NO CLASIFICACIÓN,0,mujer
zapatillas urbanas hombre ferrari caven 20,puma,289.9,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
polo jersey hombre lyvan pionier,gzuck,55.3,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
bota con lengueta afuera y doble correa con hebilla 2035l 70  ,generico,139.0,botas de mujer,falabella,BOTAS (MUJER > 14),321030106,mujer
gorra trucker clasica banda cafe tacuba 03,generico,49.9,gorros y sombreros,falabella,NO CLASIFICACIÓN,0,mujer
buzo niño algodón,paw patrol,69.9,ropa de niños,falabella,ROPA DEPORTIVA ESCOLAR (NIÑO DE 3 A 13),312030167,niño
sandalias casuales plate thong,michael kors,300.3,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
chompa  algodón hombre,cortefiel,219.9,moda hombre,falabella,CHOMPA / SUÉTER (HOMBRE > 14),312010138,hombre
sandalia yute  mujer ,gotta,219.0,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
zapato derby casual angel  t  cuero,rabbit,159.9,zapatos niño,falabella,ZAPATOS ESCOLARES (NIÑO DE 3 A 13),321020118,niño
disfraz de princesa aurora bella duermiente para mujer,generico,125.0,batas,falabella,NO CLASIFICACIÓN,0,mujer
zapatilla bugs bunny 2ly  blancoverde,generico,169.9,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
sacón legant hombre ,kaeroshy,115.0,moda hombre,falabella,"CASACA, CHAQUETA, GUERRERA (HOMBRE > 14)",312010132,hombre
zapatos de vestir hombre 23rb 34,conters,175.4,zapatos,falabella,ZAPATOS (HOMBRE >14),321010121,hombre
gorra mlb new york mets 9forty 719106169695,new era,119.95,gorros y sombreros,falabella,NO CLASIFICACIÓN,0,mujer
polo moda jersey hombre benoit looney,pionier,89.0,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
sandalia para mujer   ,sthef,95.0,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
mocasines mujer lumber jack  cat,lumberjack,149.0,mocasines,falabella,CALCETINES (HOMBRE > 14),312010119,mujer
correa  oscuro con hebilla puente,generico,39.9,correas,falabella,CORREA (HOMBRE >14),313010115,mujer
conjunto para niños en jogger cargo,generico,99.9,ropa de niños,falabella,NO CLASIFICACIÓN,0,niño
zapatillas gabby y su casa de muñecas urbanas rosado niña,disney,173.0,zapatos niño,falabella,ZAPATILLAS (NIÑA DE 3 A 13),321040303,niña
traje kneeskin yingfa mujer pro iii,generico,249.9,moda mujer,falabella,ROPA DEPORTIVA (MUJER > 14),312020168,mujer
panty profesional medias latinas,generico,118.0,pantys,falabella,ROPA INTERIOR (MUJER > 14),312020172,mujer
gorra trucker clasica banda el cuarteto de nos 01,generico,49.9,gorros y sombreros,falabella,NO CLASIFICACIÓN,0,mujer
gorra de los angeles rams nfl 9fifty ,new era,149.9,gorros y sombreros,falabella,NO CLASIFICACIÓN,0,mujer
medias niña pack de 3 pares,yamp,19.9,ropa de niñas,falabella,NO CLASIFICACIÓN,0,niña
body navidad niño niña algodón,yamp,24.9,ropa de bebe niño,falabella,BEBECRECE (MENOR DE 2),312050108,niño
sandalias para pre escolar fn  27 35 adriana,footloose,85.0,zapatos niña,falabella,ZAPATOS ESCOLARES (NIÑA DE 3 A 13),321040121,niña
zapatos casuales mujer   ,kolosh,125.94,zapatos casuales mujer,falabella,ZAPATOS (MUJER > 14),321030121,mujer
pantalón casual mujer,newport,69.9,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
zapatillas grand court platfor para mujer   0,adidas,256.0,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
medias cómodas niño pack 3 pares,rybiu import,33.9,ropa de niños,falabella,NO CLASIFICACIÓN,0,niño
camisa manga larga hombre,wolf&hank,169.9,moda hombre,falabella,CAMISA (HOMBRE > 14),312010124,hombre
