codigo,class_inei
312010119,CALCETINES (HOMBRE > 14)
312010124,CAMISA (HOMBRE > 14)
312010132,"CASACA, CHAQUETA, GUERRERA (HOMBRE > 14)"
312010138,CHOMPA / SUÉTER (HOMBRE > 14)
312010153,PANTALÓN CORTO (HOMBRE > 14)
312010154,PANTALÓN (HOMBRE > 14)
312010158,POLERA / SUDADERA (HOMBRE > 14)
312010160,POLO (HOMBRE > 14)
312010167,ROPA DEPORTIVA (HOMBRE > 14)
312010171,ROPA INTERIOR (HOMBRE > 14)
312010186,TERNO (HOMBRE > 14)
312020106,BLUSA (MUJER > 14)
312020114,"CASACA, CHAQUETA, GUERRERA (MUJER > 14)"
312020117,CHOMPA / SUÉTER (MUJER > 14)
312020118,CONJUNTO / VESTIDO DE VESTIR (MUJER > 14)
312020131,MEDIAS (MUJER > 14)
312020136,PANTALÓN CORTO (MUJER > 14)
312020137,PANTALÓN (MUJER > 14)
312020142,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)"
312020165,VESTIDO PARA OCASIONES ESPECIALES (MUJER > 14)
312020168,ROPA DEPORTIVA (MUJER > 14)
312020172,ROPA INTERIOR (MUJER > 14)
312030150,PANTALÓN (NIÑO DE 3 A 13)
312030158,POLO (NIÑO DE 3 A 13)
312030167,ROPA DEPORTIVA ESCOLAR (NIÑO DE 3 A 13)
312030169,ROPA INTERIOR (NIÑO DE 3 A 13)
312030186,UNIFORME ESCOLAR (NIÑO DE 3 A 13)
312040116,"CASACA, CHAQUETA, GUERRERA (NIÑA DE 3 A 13)"
312040137,PANTALÓN (NIÑA DE 3 A 13)
312040142,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (NIÑA DE 3 A 13)"
312040159,UNIFORME ESCOLAR (NIÑA DE 3 A 13)
312040165,ROPA INTERIOR (NIÑA DE 3 A 13)
312040169,ROPA DEPORTIVA ESCOLAR (NIÑA DE 3 A 13)
312050108,BEBECRECE (MENOR DE 2)
312050138,CONJUNTITO (MENOR DE 2)
312050152,PANTALÓN (MENOR DE 2)
312060230,CONFECCIÓN DE VESTIDO (MUJER / NIÑA)
313010115,CORREA (HOMBRE >14)
313060103,HILOS PARA COSER
314010103,LAVADO AL AGUA DE ROPA
314010106,LAVADO EN SECO DE ROPA
314030130,REPARACIÓN DE PANTALÓN
321010121,ZAPATOS (HOMBRE >14)
321010303,ZAPATILLAS (HOMBRE >14)
321010307,ZAPATILLAS DE LONA (HOMBRE >14)
321020118,ZAPATOS ESCOLARES (NIÑO DE 3 A 13)
321020303,ZAPATILLAS (NIÑO DE 3 A 13)
321020307,ZAPATILLAS DE LONA (NIÑO DE 3 A 13)
321030106,BOTAS (MUJER > 14)
321030115,SANDALIAS (MUJER > 14)
321030121,ZAPATOS (MUJER > 14)
321030303,ZAPATILLAS (MUJER > 14)
321030309,ZAPATILLAS DE LONA (MUJER > 14)
321040118,ZAPATOS (NIÑA DE 3 A 13)
321040121,ZAPATOS ESCOLARES (NIÑA DE 3 A 13)
321040303,ZAPATILLAS (NIÑA DE 3 A 13)
321040309,ZAPATILLAS DE LONA (NIÑA DE 3 A 13)
321050106,ZAPATOS (MENOR DE 2)
322010103,REPARACIÓN DE ZAPATO (HOMBRE > 14)
0,NO CLASIFICACIÓN
